Restaurant Name,Item Name,Price (INR),Description,URL
Kaayal,Apam (1 Pc),209,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Kappa,130,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Idiyappam (1 Pc),209,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Mutta Varuthathu (Omelette) (1 Pc),6049,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Porichathu Kozhi,320,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Egg Bhurji,65,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Egg Appam (1 Pc),30,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Mutta Varuthathu (Omlette),60,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Idiappam With Egg Curry,110,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Idiappam With Veg Curry,80,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Appam With Egg Curry,130,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Appam With Veg Curry,120,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Chicken Biryani Combo 4,420,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Chicken Biryani Combo 3,420,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Chicken Biryani Combo 2,420,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Chicken Biryani Combo 1,440,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Coke (250 Ml),40,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Kaayal,Prawns Biryani + Coke 250 Ml,390,No description available,https://www.swiggy.com/city/ahmedabad/subway-prahlad-nagar-rest38018
Subway,Chilli Bean Patty Rice Bowl,289,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Paneer Tikka Rice Bowl,329,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Tandoori Chicken Tikka Rice Bowl,329,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Pepper Chicken Rice Bowl,329,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Chicken 65 Rice Bowl,329,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Aloo Patty Sandwich,254,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Paneer Tikka Sandwich,264,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Peri Peri Chicken Sandwich,284,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Roasted Chicken Strip Sandwich,284,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Tandoori Chicken Tikka Sandwich,284,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Paneer Tikka Salad,294,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Tandoori Chicken Tikka Salad,324,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Paneer Tikka Signature Wrap,304,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
Subway,Tandoori Chicken Tikka Signature Wrap,324,No description available,https://www.swiggy.com/city/ahmedabad/la-pinoz-pizza-satellite-rest40831
McDonald's Gourmet Burger Collection,McSpicy Premium Chicken Burger,269,No description available,https://www.swiggy.com/city/ahmedabad/kwality-walls-frozen-dessert-and-ice-cream-shop-satellite-rest395353
McDonald's Gourmet Burger Collection,McSpicy Premium Veg Burger,259,No description available,https://www.swiggy.com/city/ahmedabad/kwality-walls-frozen-dessert-and-ice-cream-shop-satellite-rest395353
McDonald's Gourmet Burger Collection,Big Spicy Chicken Wrap,249,No description available,https://www.swiggy.com/city/ahmedabad/kwality-walls-frozen-dessert-and-ice-cream-shop-satellite-rest395353
McDonald's Gourmet Burger Collection,Big Spicy Paneer Wrap,249,No description available,https://www.swiggy.com/city/ahmedabad/kwality-walls-frozen-dessert-and-ice-cream-shop-satellite-rest395353
McDonald's Gourmet Burger Collection,McSpicy Chicken Burger,235,No description available,https://www.swiggy.com/city/ahmedabad/kwality-walls-frozen-dessert-and-ice-cream-shop-satellite-rest395353
McDonald's Gourmet Burger Collection,McSpicy Paneer Burger,235,No description available,https://www.swiggy.com/city/ahmedabad/kwality-walls-frozen-dessert-and-ice-cream-shop-satellite-rest395353
McDonald's Gourmet Burger Collection,Chicken Maharaja Mac Burger,279,No description available,https://www.swiggy.com/city/ahmedabad/kwality-walls-frozen-dessert-and-ice-cream-shop-satellite-rest395353
McDonald's Gourmet Burger Collection,McCheese Burger Chicken,295,No description available,https://www.swiggy.com/city/ahmedabad/kwality-walls-frozen-dessert-and-ice-cream-shop-satellite-rest395353
McDonald's Gourmet Burger Collection,McCheese Burger Veg,275,No description available,https://www.swiggy.com/city/ahmedabad/kwality-walls-frozen-dessert-and-ice-cream-shop-satellite-rest395353
McDonald's Gourmet Burger Collection,Veg Maharaja Mac Burger,255,No description available,https://www.swiggy.com/city/ahmedabad/kwality-walls-frozen-dessert-and-ice-cream-shop-satellite-rest395353
